软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
土地肥 | 沃
灌溉，浇 | 沃
光盛，丰美 | 沃
姓。 | 沃
〔～阳湖〕湖名，在中国江西省。 | 鄱
古同“恶”。 | 悪
想得到某种东西或想达到某种目的的要求 | 欲
想要，希望 | 欲
需要 | 欲
将要 | 欲
婉顺的样子。 | 欲
中医学将胃、胆、三焦、膀胱、大肠、小肠合称“六腑”，以别于“五脏” | 腑
一年中的第四季 | 冬
姓。 | 冬
象声词，敲鼓声 | 冬
曾作“道”的简化字，后停用。 | 辺
同“边”（日本汉字）。 | 辺
古同“是”。 | 昰
有条理，不混乱的情况 | 秩
古代官吏的俸禄 | 秩
古代官职级别 | 秩
十年 | 秩
曾作“钟”的简化字，后停用。 | 锺
背，反，不遵守 | 违
不见面，离别 | 违
邪恶，过失。 | 违
〔鹭～〕见“鹭”。 | 鸶
古书上说的一种草。 | 苳
〔～族〕中国少数民族，主要分布于福建省、浙江省。 | 畲
同“莩”。 | 苻
姓。 | 苻
帝王的妻，位次于皇后；亦指太子、王、侯的妻 | 妃
古代对神女的尊称 | 妃
古同“绯”，粉红色。 | 妃
古同“配”，婚配。 | 妃
〔～水〕水名，在中国湖北省；地名，在中国湖北省。 | 浠
用脚登在上面，踏 | 踩
指追踪盗匪或追查案件 | 踩
哺乳动物，毛黄褐色，有黑色条纹，性凶猛，力大。骨和血及内脏均可入药（通称“老虎”） | 虎
勇猛、威武 | 虎
古同“唬”，威吓。 | 虎
古同“琥”，琥珀。 | 虎
〔～县〕地名，在中国浙江省。 | 鄞
姓。 | 鄞
一种金属元素。它的化合物在工业上用途很广，对动植物的生长和发育起很大作用。 | 钾
姓。 | 袁
充满。 | 褔
符合 | 褔
同“福”。太平天国自造避讳字。 | 褔
回答或随声相和 | 应
接受，允许，答应要求 | 应
顺合，适合 | 应
对待 | 应
该，当，又引申料想理该如此 | 应
回答 | 应
随，即 | 应
姓。 | 应
屈曲不直 | 弯
使曲 | 弯
意向 | 志
记，记在心里 | 志
记号 | 志
记载的文字 | 志
称轻重，量长短、多少 | 志
姓。 | 志
到，及 | 洎
往锅里添水。 | 洎
肉汁。 | 洎
（水）浸润。 | 洎
脚印 | 迹
物体遗留下的印痕 | 迹
前人遗留下的事物 | 迹
追寻踪迹 | 迹
据实迹考知 | 迹
四周陡削、山顶较平的山（多用于地名） | 崮
挂，吊在空中 | 悬
没有着落，没有结束 | 悬
距离远 | 悬
危险 | 悬
公开提示 | 悬
斧子的柄 | 柯
草木的枝茎 | 柯
姓。 | 柯
给，与 | 授
教，传给 | 授
物体外形的样子 | 式
特定的规格 | 式
典礼，有特定内容的仪式 | 式
自然科学中表明某些关系或规律的一组符号 | 式
一种语法范畴，表示说话者对所说事情的主观态度 | 式
一种与鸱鸺相似的鸟。 | 枭
勇健 | 枭
古代刑罚，把头割下来悬挂在木上 | 枭
旧时指私贩食盐的人 | 枭
同“泽”（日本汉字）。 | 沢
一种机器，能把液体或气体抽出或压入 | 泵
小而尖的山 | 峦
连着的山 | 峦
〔咳（）～〕见“咳”。 | 嗽
满、足 | 充
填满，装满 | 充
当，担任 | 充
假装 | 充
姓。 | 充
白绢 | 练
把生丝、麻或布帛煮熟，使柔软洁白 | 练
反复学习，多次操作 | 练
经验多，精熟 | 练
姓。 | 练
鸟张开并振动翅膀 | 奋
振作，鼓劲，振动 | 奋
提起，举起 | 奋
第二位的，辅助的，区别于“正”、“主” | 副
附带的，次要的 | 副
相配，相称（） | 副
量词（一组或一套，如“一～手套”，“全～武装”；指态度，如“一～笑脸”）。 | 副
剖开，裂开 | 副
高起，直立 | 耸
惊动 | 耸
聋 | 耸
泥浆。 | 溏
不凝结、半流动的 | 溏
水池。 | 溏
太阳出来的时候 | 早
时间靠前，有一定的时间以前 | 早
时间在先的，从前 | 早
奉献 | 供
祭祀用的东西 | 供
被审问时在法庭上述说事实 | 供
准备着东西给需要的人应用 | 供
治理国家事务 | 政
国家某一部门主管的业务 | 政
家庭或集体生活中的事务 | 政
姓。 | 政
〔～楼〕古代城门上建的楼，可以瞭望。 | 谯
〔～～〕毛羽残敝。 | 谯
（谯） | 谯
〔～嵋〕山名，在中国四川省。亦作“峨眉”。 | 峨
高 | 峨
〔鹦～〕见“鹦”。 | 鹉
古帝“颛顼”的省称，见“颛”。 | 顼
姓。 | 顼
微弱的光亮 | 荧
眼光迷乱，迷惑 | 荧
物理学上称某些物质受光或其他射线照射时所发出的可见光 | 荧
古同“萤”。 | 荧
船 | 舫
使东西从口里出来 | 吐
放出，露出 | 吐
说出 | 吐
内脏里的东西从口里涌出 | 吐
把吞没的东西退出来 | 吐
一种长方形或正方形的较大的盛东西的器具 | 槽
特指用来盛饲料喂牲畜的器具 | 槽
槽状的 | 槽
两边高起，中间凹下物体的凹下部分 | 槽
〔～苓〕寄生在松树根上的一种块状菌类植物，皮黑色，有皱纹，内部白色或粉红色；包含松根的称“茯神”，均可入药，亦可食。 | 茯
古代占卜用的器具，形状像罗盘，后来叫星盘。汉书卷九十九王莽传下 | 栻
古书上说的一种树。 | 栻
两性结合 | 配
相互分工合作 | 配
用适当的标准加以调和 | 配
有计划地分派、安排 | 配
把缺少的补足 | 配
衬托，陪衬 | 配
够得上 | 配
古代把罪人遣放到边远地区充军 | 配
人和脊椎动物身体里主管消化食物的器官 | 胃
星名，二十八宿之一。 | 胃
唱，声调抑扬地念 | 吟
叹息，痛苦的声音 | 吟
中国古代诗歌的一种名称 | 吟
鸣，叫 | 吟
讨伐，消灭 | 剿
劳累 | 剿
以别人的语言文句作为自己的 | 剿
落叶小乔木，品种很多，果实略呈球形，表面有短绒毛，味甜，有大核，核仁可入药 | 桃
形状像桃子的 | 桃
指核桃 | 桃
姓。 | 桃
断 | 绝
尽，穷尽 | 绝
极，极端的 | 绝
独特的，少有的，没有人能赶上的 | 绝
一定的，肯定的 | 绝
越过 | 绝
旧体诗的一种体裁 | 绝
超越本分，古代指地位在下的冒用在上的名义或礼仪、器物 | 僭
害怕，恐惧 | 悚
方言，村庄（多用于村庄名）。 | 厍
姓。 | 厍
古同“渊”。 | 渕
看，察看 | 阅
经历 | 阅
容，容许 | 阅
本钱 | 阅
总聚，汇集 | 阅
软弱无能 | 懦
平安，安定 | 泰
佳，美好 | 泰
极 | 泰
骄纵，傲慢 | 泰
通 | 泰
形容高险像屏障的山 | 嶂
明显，显著，盛大 | 赫
发怒 | 赫
红如火烧，泛指红色 | 赫
秀丽，美好 | 娟
价值，价钱 | 值
物和价相当，引申有意义或有价值 | 值
数学上指演算所得结果 | 值
遇到，逢着 | 值
当，轮到 | 值
液体形成的许多细泡 | 沫
指“唾沫” | 沫
中国古代西部的民族 | 羌
中国少数民族，主要分布于四川省 | 羌
文言助词，用在句首，无义 | 羌
姓。 | 羌
曲折，绕远 | 迂
言行或见解陈旧不合时宜 | 迂
〔～～〕象声词，形容动物细小的叫声，如“～～鸟鸣”。 | 啾
〔～唧〕小声，如“秋虫～唧”。 | 啾
用手指或棍棒等推动或挑动 | 拨
分给 | 拨
治理 | 拨
掉转 | 拨
量词，用于成批的，分组的 | 拨
快马。 | 骜
马不驯良。喻傲慢，不驯顺 | 骜
付托，付给 | 交
相错，接合 | 交
互相来往联系 | 交
与人相友好 | 交
一齐，同时 | 交
两性和合 | 交
同“跤”。 | 交
不争，尽（）着旁人 | 让
请 | 让
许，使 | 让
任凭 | 让
被 | 让
索取一定代价，把东西给人 | 让
闪避 | 让
责备，谴责 | 让
古同“攘”，侵夺。 | 让
看 | 瞧
为某种要求而呼喊 | 吁
叹息 | 吁
叹词，表示惊疑 | 吁
表示不定的数量 | 些
用在形容词后表示比较的程度 | 些
《楚词》中的句末助词。 | 些
古代指郊外的地方。 | 甸
田野的出产物 | 甸
治理。 | 甸
古同“畋”，打猎。 | 甸
古同“乘”，古代划分田、里的名称。 | 甸
收敛，吸进 | 歙
古同“翕”，和洽。 | 歙
〔～县〕地名，在中国安徽省。简称“歙”，如“～砚”。 | 歙
多年生草本植物，羽状复叶，白色，果实椭圆形。产于中国四川和云南省。全草有香气，地下茎可入药。亦称“川芎”。 | 芎
古同“勉”，勉励。 | 勔
〔～关〕关名，在中国陕西省东部；地名，在中国陕西省东部。 | 潼
〔～～〕高的样子。 | 潼
做官 | 仕
审察 | 仕
古同“事”，事业。 | 仕
固执，不驯顺 | 拗
不顺，不顺从 | 拗
弯曲使断，折 | 拗
小，排行最末的 | 幺
数目一（称呼电话号码等；色子和骨牌中的一点） | 幺
姓。 | 幺
有害的性质或有害的东西 | 毒
害，伤害 | 毒
凶狠，猛烈 | 毒
恨，以为苦 | 毒
古同“玳”，玳瑁。 | 毒
正直的（言论） | 谠
封建时代受奴役的未成年人 | 僮
古同“童”。 | 僮
〔～族〕中国少数民族，今改作“壮族”。 | 僮
土坝 | 埭
庆祝，祝颂 | 贺
姓。 | 贺
轻打，拍 | 扑
击拂的用具 | 扑
冲 | 扑
相搏击 | 扑
跌倒 | 扑
伏 | 扑
杖，戒尺，亦为中国周代九刑之一。 | 扑
人或高等动物体内的腺体之一，在胃的后下方（亦称“胰腺”） | 胰
古地名，在今中国陕西省户县和周至县。 | 郝
姓。 | 郝
效法，钻研知识，获得知识，读书 | 学
传授知识的地方 | 学
掌握的知识 | 学
分门别类的有系统的知识 | 学
有机化学上碳氢化合物的总称（“碳”、“氢”二字连读）。 | 烃
高而上平，形容秃山，泛指秃 | 兀
高高地突起 | 兀
中国元曲中用作发语词 | 兀
〔越～〕古郡名。 | 巂
姓。 | 巂
鸟名，即“子规”。 | 巂
古通“规”，指车轮转一周。 | 巂
古地名，在今中国山东省东阿县西。 | 巂
〔～山〕山名，中国河南省洛阳市西谷口山的古称。 | 廆
古人名用字。 | 廆
墙壁。 | 廆
介词（在，如“生～北京”；到，如“荣誉归～老师”；对，如“勤～学习”；向，如“出～自愿”；给，如“问道～盲”；自，从，如“取之～民”；表比较，如“重～泰山”；表被动，如“限～水平”）。 | 于
后缀（在形容词后，如“疏～防范”；在动词后，如“属～未来）。 | 于
姓。 | 于
（马）快跑 | 骤
急，疾速，突然 | 骤
〔咖（）～〕见“咖”。 | 喱
英美制重量单位。 | 喱
水上交通工具 | 船
游戏，玩耍 | 嬉
从地下流出的水源 | 泉
古代钱币的名称。 | 泉
姓。 | 泉
姓。 | 冯
古同“凭”，凭借，依靠。 | 冯
马行速。 | 冯
帝王自称其所谓天赐的符命之书，作为御制天下的凭证。 | 箓
簿籍 | 箓
道教记载上天神名的书。 | 箓
古代弦乐器，最初是五根弦，后加至七根弦（亦称“七弦琴”；通称“古琴”） | 琴
某些乐器的统称 | 琴
中国广西壮族自治区的别称 | 桂
〔～花〕常绿小乔木或灌木，叶椭圆形，开白色或暗黄色小花，有特殊的香气，供观赏，亦可做香料，通称“木犀”；简称“桂”，如“金～”，“～子飘香”、“～轮”（月的别称，相传月中植桂花。亦称“桂魄”）。 | 桂
姓。 | 桂
自称，自己，亦指自己一方 | 我
坑谷，深沟 | 壑
古代用来占卜的符号 | 卦
见“昵”。 | 暱
〔～蜊〕软体动物，壳形卵圆，色淡褐，稍有轮纹，内白色，栖浅海沙中，肉可食。 | 蛤
〔文～〕软体动物，略呈三角形，栖近海沙泥中，有黑白两种，幼时称“棋子蛤”。 | 蛤
〔～蚧〕爬行动物，土黄色，像壁虎，头大，尾部灰色，有红色斑点。中医用作强壮剂。 | 蛤
〔～蟆〕青蛙和蟾蜍的统称（“蟆”读轻声）。 | 蛤
拿东西换钱，与“买”相对 | 卖
背叛祖国、亲友或自己的良心 | 卖
尽量使出力气 | 卖
显示自己，表现自己 | 卖
〔～胺〕有机化合物，抗菌药；“磺胺噻唑”、“磺胺脒”等磺胺类药物的总称。 | 磺
〔硫～〕见“硫”。 | 磺
相同，一样 | 共
彼此都具有、使用或承受 | 共
一起，一齐 | 共
总计，合计 | 共
与，和 | 共
“共产党”的简称。 | 共
古同“恭”，恭敬。 | 共
古同“供”，供奉，供给。 | 共
落叶小乔木，果实称“李子”，熟时呈黄色或紫红色，可食 | 李
姓。 | 李
古同“理”，古代法官的代称。 | 李
计谋，打算，谋划 | 猷
脸的两侧 | 颊
一种放射性元素。 | 钫
古代青铜制方口大腹的容器，用以盛酒或粮食。 | 钫
古代指无足的鼎，今指锅一类的器皿。 | 钫
中国周代诸侯国名 | 虢
姓。 | 虢
鸟翅和尾上的长而硬的羽毛 | 翎
遮蔽，遮盖 | 掩
关，合 | 掩
门、窗、箱柜等关合时夹住了东西 | 掩
乘人不备而袭击或捉拿 | 掩
成花纹的云彩。 | 雯
粘，把一种东西粘在另一种东西上 | 贴
靠近，紧挨 | 贴
添补，补助 | 贴
同“帖”。 | 贴
传统戏剧角色名 | 贴
旧时供传递公文的人中途休息、换马的地方，亦指供传递公文用的马 | 驿
现为地名用字 | 驿
古同“绎”，络绎。 | 驿
用背（多指牲口）负载人或物 | 驮
（—子）骡马等负载的成捆的货物 | 驮
〔～蚪〕蛙或蟾蜍的幼体，黑色，身体椭圆，有长尾，生活在水中，最后变成蛙或蟾蜍。亦称“活东”。 | 蝌
〔～～〕形容安静和悦；形容静寂，深沉。 | 愔
〔～然〕形容沉默无声或安静。 | 愔
〔灰～〕地名，在中国台湾台北。 | 磘
看 | 视
亲临某事 | 视
看待 | 视
看望 | 视
比照 | 视
古同“示”，表明。 | 视
哺乳动物，四肢细长，尾短。雄鹿头上有树枝状的角。毛多为棕褐色，有的有花斑或条纹。听觉和嗅觉都很灵敏。种类很多，常见的有梅花鹿、水鹿、白唇鹿、马鹿等。 | 鹿
方形的粮仓 | 鹿
粗，粗劣 | 鹿
姓。 | 鹿
疏忽，不周密 | 粗
不精致，工料毛糙 | 粗
长条东西直径大的 | 粗
颗粒大的 | 粗
声音低而大 | 粗
鲁莽 | 粗
略微 | 粗
翻转，颠倒 | 反
翻转的，颠倒的，与“正”相对 | 反
抵制，背叛，抗拒 | 反
和原来的不同，和预感的不同 | 反
回击，回过头来 | 反
类推 | 反
〔装～〕指书画、书刊的装潢设计。 | 帧
量词，幅，用于字画等 | 帧
腿或脚有病，走路时身体不平衡，瘸 | 跛
共同生活的眷属和他们所住的地方 | 家
家庭所在的地方 | 家
居住 | 家
对人称自己的尊长、亲属 | 家
家里养的，不是野生的 | 家
经营某种行业的人家或有某种身份的人家 | 家
掌握某种专门学识或有丰富实践经验及从事某种专门活动的人 | 家
学术流派 | 家
量词，用于计算家庭或企业 | 家
姓。 | 家
词尾，指一类的人 | 家
用在男人的名字或排行后面，指他的妻 | 家
词尾，同“价” | 家
海水因为受了日月的引力而定时涨落的现象 | 潮
像潮水那样汹涌起伏的 | 潮
湿 | 潮
方言，技术不高 | 潮
我，我的 | 吾
姓。 | 吾
古同“御”，抵御。 | 吾
可以作为标准的书籍 | 典
标准，法则 | 典
指典礼 | 典
主持，主管 | 典
活买活卖，到期可以赎 | 典
姓。 | 典
浮在液体上不动或顺着风向、流向而移动 | 漂
用水加药品使物品退去颜色或变白 | 漂
用水冲去杂质 | 漂
〔～亮〕好看，如“长得～亮”；出色，如“这件事办得～亮”。 | 漂
方言，事情、账目等落空 | 漂
木本植物的通称 | 树
种植，培育 | 树
立，建立 | 树
量词，相当于“株”、“棵” | 树
姓。 | 树
耐，把感情按住不让表现 | 忍
狠心，残酷 | 忍
丰富，宽绰 | 裕
从容，不紧张费力 | 裕
姓。 | 裕
性质或形态改变 | 化
佛教、道教徒募集财物 | 化
用在名词或形容词后，表示转变成某种性质或状态 | 化
习俗，风气 | 化
特指“化学” | 化
同“花”。 | 化
古代妇女的头巾、帕 | 帼
强迫，威胁 | 逼
切近 | 逼
狭窄 | 逼
彼，他，她 | 伊
文言助词 | 伊
姓。 | 伊
善，好 | 臧
纠正，把弯曲的弄直 | 矫
假托 | 矫
强壮，勇武 | 矫
姓。 | 矫
〔～情〕方言，指强词夺理，无理取闹，如“这个人太～情”，（“情”读轻声）。 | 矫
〔～河〕水名，源出中国安徽省，流至江苏省入洪泽湖。 | 濉
补偿损失 | 赔
亏损，与“赚”相对 | 赔
捣土的杵 | 筑
建造，修盖 | 筑
居室 | 筑
古代弦乐器，形似琴，有十三弦。演奏时，左手按弦的一端，右手执竹尺击弦发音。 | 筑
中国贵州省贵阳市的别称。 | 筑
中国特产的质地厚密、一面光滑的丝织品 | 缎
火灭，灭火 | 熄
色彩鲜明 | 艳
羡慕 | 艳
旧时指关于爱情方面的 | 艳
美丽，亦指美女 | 艳
旧时代的大小官员 | 吏
旧指小公务员 | 吏
用绳、线等结成的捕鱼捉鸟的器具 | 网
形状像网的东西 | 网
像网一样的纵横交错的组织或系统 | 网
用网捕捉 | 网
像网似的笼罩着 | 网
共同合作，和洽 | 协
帮助，辅助 | 协
武装部队 | 军
军队的编制单位，是“师”的上一级。 | 军
泛指有组织的集体 | 军
叹词，表示不满或提醒 | 哎
人或动物走过留下的脚印 | 踪
慎重。 | 劼
稳固。 | 劼
勤勉。 | 劼
自然界和社会中的现象和活动 | 事
变故 | 事
职业 | 事
关系和责任 | 事
办法 | 事
做，治 | 事
服侍 | 事
〔～～〕群鱼游水的样子，如“南有嘉鱼，丞然～～”。 | 汕
古代称抄网类的捕鱼用具。 | 汕
〔～骨〕前臂靠大指一侧的骨头。 | 桡
桨，楫。 | 桡
古同“挠”，削弱。 | 桡
古同“挠”，打扰。 | 桡
同“卫”。 | 衞
古代称丈夫的嫂子或年长之妾 | 姒
古代称姐姐。 | 姒
姓。 | 姒
指喜鹊鸟。民间传说听见它叫将有喜事来临。简称“鹊”，如“～报”（指喜鹊报喜），“～起”（喻兴起，崛起），“～桥”。 | 鹊
织布时用梭穿织的横纱，编织物的横线，与“经”相对 | 纬
地理学上指在地面上的与赤道平行的线 | 纬
东西的横路 | 纬
行星的古称 | 纬
书名 | 纬
编织 | 纬
改变原来位置或脱离静止状态，与“静”相对 | 动
使开始发生 | 动
使用 | 动
使起作用或变化，使感情起变化 | 动
吃（多用于否定式） | 动
非静止的 | 动
可变的 | 动
行为 | 动
常常 | 动
固体受热变软或化为流体 | 融
调合，和谐 | 融
流通 | 融
长远、永久 | 融
对高等植物中除了树木、庄稼、蔬菜以外的茎干柔软的植物的统称；广义指茎干比较柔软的植物，包括庄稼和蔬菜 | 草
特指用作燃料、饲料的稻麦之类的茎叶 | 草
粗糙，不细致 | 草
汉字的一种书体 | 草
打稿子，亦指稿子；引申为初步的，非正式的 | 草
荒野，原野，引申为在野的、民间的 | 草
雌性的（用于某些家畜、家禽） | 草
羞愧 | 惭
理解，明白，觉醒 | 悟
〔青鲲～〕。 | 鯓
〔南鲲～〕均为地名，在中国台湾省台南市。 | 鯓
围绕 | 圜
同“圆”。 | 圜
指天体 | 圜
穿在脚上便于走路的东西 | 鞋
述说 | 叙
同“序”。 | 叙
评议等级次第 | 叙
体腔 | 膛
器物中空的部分 | 膛
粗野，凶恶，不通情理 | 蛮
愣，强悍 | 蛮
中国古代称南方各族 | 蛮
方言，相当于“很” | 蛮
少，缺少 | 寡
淡而无味 | 寡
妇女死了丈夫 | 寡
停留在一个地方 | 驻
部队或外勤工作人员住在执行职务的地方；部门、单位派出的机构在某地 | 驻
〔～鱼〕形状像蛇，身体黄色有黑斑，生活在水边泥洞里，肉可食。亦称“黄鳝”。 | 鳝
（鳝） | 鳝
用丝、棉、麻、金属等制成的细长可以任意曲折的东西 | 线
几何学上指一个点任意移动所构成的图形 | 线
像线的东西 | 线
量词，用于抽象事物，数词限用“一”，表示极少 | 线
〔～璃〕一种质地硬而脆的透明物品，一般用细纱、石灰石、碳酸钠等混合起来，加高温熔解，冷却后制成，主要成分是二氧化碳、氧化钠和氧化钙。俗称某些透明的像玻璃的质料，如“～璃丝袜”，“～璃雨衣”（“璃”读轻声）。 | 玻
象声词，形容枪声、关门声、东西砸破声等。 | 乓
高兴，快乐 | 喜
可庆贺的，特指关于结婚的 | 喜
妇女怀孕 | 喜
爱好 | 喜
适于 | 喜
姓。 | 喜
传说中海里的大龟或大鳖。 | 鳌
光明，明亮 | 炯
用兽皮制的鞋 | 鞮
〔～鞻（）氏〕中国周代乐官名，掌四夷之乐与其声歌。” | 鞮
古代释译官 | 鞮
雕，用刀子挖 | 刻
古代用漏壶记时，一昼夜共一百刻。今用钟表计时，一刻等于十五分钟 | 刻
时间 | 刻
形容程度极深 | 刻
不厚道 | 刻
同“克”。 | 刻
温度低，与“热”相对 | 冷
寂静，不热闹 | 冷
生僻，少见的 | 冷
不热情，不温和 | 冷
不受欢迎的，没有人过问的 | 冷
突然，意料以外的 | 冷
姓。 | 冷
胳膊由肘到肩的部分 | 肱
喻强大、得力的助手 | 肱
抓住，把着 | 扒
刨开，挖 | 扒
剥，脱 | 扒
拔 | 扒
拨动 | 扒
用耙搂，聚拢 | 扒
搔，抓 | 扒
炖烂，煨烂 | 扒
一般指人和脊椎动物躯干的一部分，介于胸和骨盆之间，包括“腹壁”、“腹腔”及内脏（通常称“肚子”） | 腹
喻地区的前部、内部或中部 | 腹
厚 | 腹
怀抱 | 腹
连结车辋和车毂的直条 | 辐
姓。 | 乜
〔～斜〕眼睛因困倦而眯成一条缝。眼睛略眯而斜着看，多指不满意或看不起的神情，如“他～斜着眼睛，眼角闪现讥诮的笑意”。 | 乜
〔细～〕生物体的基本结构和功能单位，主要由细胞核、细胞质、细胞膜等构成，有运动、营养和繁殖等机能。 | 胞
同一父母所生的 | 胞
一年生或二年生草本植物，有“小麦”、“大麦”、“燕麦”等多种，子实供磨面食用，亦可用来制糖或酿酒。通常专指“小麦”（通称“麦子”） | 麦
姓。 | 麦
希望，想望 | 盼
看，引申为看待 | 盼
眼睛白黑分明 | 盼
〔～猴〕哺乳动物，猴的一种，上身皮毛灰褐色，腰部以下澄黄色，面部微红色，尾短，四肢都像人。以野果、野菜等为食物。古亦称“母猴”、“沐猴”。 | 猕
（猕） | 猕
沾湿，润泽 | 濡
停留，迟滞 | 濡
含忍 | 濡
说，对话 | 谈
言论，听说的话 | 谈
姓。 | 谈
池塘 | 陂
水边，水岸 | 陂
山坡，斜坡 | 陂
陂陀—倾斜不平。 | 陂
黄陂地名，在湖北省武汉。 | 陂
同“俱”。 | 倶
古代用牲畜的血涂器物的缝隙 | 衅
缝隙，感情上的裂痕，争端 | 衅
以香熏身 | 衅
田地（多用于地名） | 畈
成片的田 | 畈
〔～子〕常绿乔木，果实像橄榄，可入药。亦称“藏（）青果”。 | 诃
同“呵”。 | 诃
老头儿 | 翁
父亲 | 翁
丈夫的父亲 | 翁
妻子的父亲 | 翁
姓。 | 翁
鸟颈毛。 | 翁
感到耻辱 | 羞
难为情，害臊 | 羞
使难为情 | 羞
进献 | 羞
同“馐”。 | 羞
落叶乔木。木材可供建筑及制造器物之用 | 梓
治木器 | 梓
木头雕刻成印刷用的木板 | 梓
指故里 | 梓
姓。 | 梓
天干的第二位，用于作顺序第二的代称。 | 乙
指代一方 | 乙
中国古代乐谱的记音符号，相当于简谱“”。 | 乙
姓。 | 乙
身体劳累的感觉 | 疲
懈怠，不起劲 | 疲
放，摆，搁 | 置
设立，设备 | 置
购买 | 置
越过，超过 | 逾
更加 | 逾
止。 | 綝
良善。 | 綝
〔～纚〕（佩物等）下垂的样子，如“冠其映盖兮，嵒嵒珮～纚以煇煌。” | 綝
方向相反，与“顺”相对 | 逆
抵触，不顺从 | 逆
背叛，背叛者或背叛者的 | 逆
迎接 | 逆
预先 | 逆
用土坯烧制而成的建筑材料 | 砖
形状像砖的东西 | 砖
马笼头 | 羁
束缚，拘束 | 羁
停留，使停留 | 羁
古代女孩留在头顶像马笼头的发型。 | 羁
同“缘”。 | 縁
双子叶植物的一属，落叶乔木或灌木。树皮容易剥离，木材致密，可制器具。“白桦”、“黑桦”均是这一属。 | 桦
地位或辈分高 | 尊
敬重 | 尊
敬辞，称与对方有关的人或事物 | 尊
量词 | 尊
古同“撙”。 | 尊
〔～～〕往来不定，摇曳不定，如“人影～～”。 | 憧
〔～憬〕向往，如“～憬未来”。 | 憧
心意不定。 | 憧
深奥 | 赜
雄健有力 | 遒
迫近 | 遒
聚。 | 遒
坚固。 | 遒
全面，到处 | 遍
量词，次，回 | 遍
固体受热到一定温度时变成液体 | 熔
向死者供献祭品致敬 | 奠
稳固地安置 | 奠
姓。 | 刘
撮合男女婚事的人 | 媒
使双方发生关系的人或事物 | 媒
聚合，合拢，合在一起 | 会
多数人的集合或组成的团体 | 会
重要的或中心的城市 | 会
彼此见面 | 会
付钱 | 会
理解，领悟，懂 | 会
能，善于 | 会
时机，事情变化的一个时间 | 会
一小段时间 | 会
可能，能够 | 会
恰巧碰上 | 会
为祭神而组织的活动 | 会
应当，一定 | 会
古同“绘”，五彩的刺绣。 | 会
总计 | 会
姓。 | 会
古同“战”。 | 戦
抛，掷，扔（多指有目标的） | 投
跳进去 | 投
放进去，送进去 | 投
走向，进入 | 投
发向 | 投
寄，递送 | 投
合 | 投
临，在…以前 | 投
病，病状 | 症
〔～结〕腹内结块的病；喻问题难解决的关键。 | 症
（症） | 症
乌鸦，鸟名，有的地区叫老鸹、老鸦，羽毛黑色，嘴大而直。乌合喻无组织地聚集 | 乌
黑色 | 乌
文言代词，表示疑问，哪，何～足道哉？ | 乌
姓。乌呼同“呜呼”，文言叹词，旧时祭文常用“呜呼”表示叹息。乌孜别克族我国少数民族。 | 乌
［乌拉］同“靰鞡”。 | 乌
〔～子〕软体动物，介壳厚而坚实，生活在浅海泥沙中。肉可食，味鲜美。亦称“魁蛤”；俗称“瓦垄子”、“瓦楞子”。 | 蚶
〔～县〕地名，在中国四川省。 | 郫
胎，怀胎 | 孕
镜子。 | 鉴
照 | 鉴
观察，审察 | 鉴
可以使人警惕或引为教训的事情 | 鉴
同“黏”。 | 粘
姓。 | 粘
黏的东西互相附着连结在一起 | 粘
用胶水或糨糊把一种东西胶合在另一种东西上 | 粘
下等的丝。 | 纥
〔～繨〕同“疙瘩”，纱线绳等打成的结、小球形或块状物。 | 纥
（纥） | 纥
插在轴端孔内的车键，使轮不脱落。 | 辖
管理 | 辖
〔～极〕多极电子管靠阴极的一个电极。 | 栅
〔光～〕产生光的衍射图像的光学仪器。 | 栅
用竹木铁条等做成的阻拦物 | 栅
〔上～〕。 | 栅
〔下～〕地名，均在中国广东省。 | 栅
〔上～〕〔下～〕地名，均在中国广东省。 | 栅
人和某些高级动物的呼吸器官 | 肺
落叶乔木，叶卵形，花白色或淡红色，果实称“杏儿”、“杏子”，酸甜，可食 | 杏
完结，终了 | 讫
截止 | 讫
弟兄的儿子，同辈男性亲友的儿子 | 侄
古书上说的一种菰类植物。 | 蒋
姓。 | 蒋
古同“奖”，勉励。 | 蒋
器物两部分利用凹凸相接的凸出的部分 | 榫
〔鹧～〕见“鹧”。 | 鸪
〔鹁～〕见“鹁”。 | 鸪
热 | 暑
中医学“六淫”之一。 | 暑
相信 | 恂
畅通 | 恂
〔～～〕担心的样子，如“吾～～而起，视其缶”；谦恭谨慎的样子，如“孔子于乡党，～～如也，似不能言者”；同“循循”。 | 恂
恐惧，惶急 | 恂
姓。 | 邳
白色 | 皞
古通“昊”，广大 | 皞
姓。 | 皞
本人，己身 | 自
从，由 | 自
当然 | 自
假如 | 自
填充器物的空隙使其牢固的木橛、木片等 | 楔
等，等候 | 待
以某种态度或行为加之于人或事物 | 待
将，要（古典戏曲小说和现代某些方言的用法） | 待
停留，逗留，迟延 | 待
〔甘～〕多年生草本植物，茎直立，有节，含甜汁很多，可生吃，亦可制糖。副产品糖蜜可酿酒、制酒精。简称“蔗”，如“～农”。“～糖”。“～渣”。 | 蔗
古水名，在今中国河南省。 | 溱
